NAC image,http://lroc.sese.asu.edu/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0032/DATA/ESM3/2017246/NAC/M1259058367LE.IMG,,,,
,,,,,
Crater name,Zi Wei,,,,
Crater diameter,450 <m>,,,,
,,,,,
Crater center,LAT,LON,,,
,44.12,-19.53,,,
,,,,,
Total count area ,2.9 <km^2>,,,,
,,,,,
BOULDER_DIAM_km,BOULDER_DIAM_m,LON,LAT,DISTANCE_m,DISTANCE_CRATER_RADII
0.002277445,2.277445425,-19.50277491,44.15822728,1301.509298,4.784485769
0.001924731,1.924731246,-19.50065378,44.15820538,1322.568388,4.878081725
0.0023716,2.371600108,-19.50070128,44.15773126,1309.496921,4.819986313
0.00305659,3.056589642,-19.49960719,44.15745664,1314.04748,4.840211023
0.002936241,2.936241144,-19.4963525,44.15801369,1365.290004,5.067955572
0.0031376,3.137599763,-19.49167055,44.15770622,1414.969236,5.28875216
0.002113705,2.113705465,-19.49187331,44.1576139,1410.109979,5.267155463
0.002362059,2.362058919,-19.49134316,44.15744491,1412.806664,5.27914073
0.002722166,2.722165761,-19.47930246,44.16044375,1649.216114,6.329849395
0.001850476,1.850476442,-19.473794,44.16057441,1734.465805,6.708736911
0.002516024,2.516024111,-19.49410599,44.15444763,1304.036184,4.795716373
0.002516344,2.51634434,-19.49387757,44.15507744,1322.322024,4.876986771
0.002584075,2.584075351,-19.49214432,44.15454542,1332.364671,4.921620759
0.003977004,3.977003594,-19.49483058,44.15617433,1337.233684,4.943260817
0.002001047,2.001046717,-19.49504273,44.15563527,1321.203907,4.872017366
0.002985338,2.985337816,-19.49261043,44.15508135,1338.985612,4.951047163
0.003297999,3.297998526,-19.49528176,44.15470659,1295.247314,4.756654727
0.002145897,2.145897484,-19.49478935,44.15522609,1314.287169,4.841276306
0.00270715,2.707150112,-19.49637753,44.15567048,1305.585868,4.802603856
0.002647501,2.647501283,-19.49604999,44.15526677,1299.50544,4.775579731
0.002608826,2.608826306,-19.49657427,44.15500624,1286.533627,4.717927231
0.002967401,2.967401417,-19.49576237,44.15438973,1281.35021,4.694889823
0.001959902,1.959901958,-19.49489349,44.15581287,1327.474978,4.89988879
0.00228512,2.285119664,-19.49592416,44.15481378,1289.803614,4.732460506
0.002723371,2.723370785,-19.49568933,44.15441633,1282.930352,4.701912677
0.003523729,3.523729225,-19.49728323,44.15628386,1310.218122,4.823191653
0.004744262,4.744261773,-19.49807171,44.15632846,1302.121082,4.787204809
0.004640698,4.640698161,-19.49822947,44.1559537,1290.685581,4.736380358
0.002979472,2.979472439,-19.49740295,44.15492409,1274.358752,4.663816678
0.0020922,2.092199815,-19.49714097,44.15464635,1270.571179,4.64698302
0.004190055,4.190055315,-19.49801428,44.15670008,1312.325128,4.832556126
0.00261423,2.61422982,-19.49839537,44.1549992,1264.379531,4.619464583
0.003704938,3.704937895,-19.49777214,44.15554139,1285.548215,4.713547622
0.003889487,3.88948717,-19.49716481,44.15674468,1323.356302,4.881583566
0.002933549,2.933549402,-19.4993334,44.15630107,1286.976141,4.719893959
0.002798522,2.798522137,-19.4975331,44.15530824,1282.487829,4.699945907
0.003263171,3.263170873,-19.49715441,44.15501328,1279.617945,4.687190865
0.002552255,2.552255239,-19.50299365,44.15575185,1232.888388,4.479503949
0.002247844,2.247843573,-19.50234516,44.15608748,1248.580128,4.549245012
0.002897122,2.89712224,-19.50095279,44.15417771,1213.674128,4.394107233
0.002805985,2.8059848,-19.50048732,44.15646068,1278.322538,4.681433501
0.004267587,4.267586617,-19.50867434,44.15506883,1159.996207,4.155538699
