frame,site,drive,pose,min_sclk,max_sclk,approx_min_sclk,approx_max_sclk,steer_LF,steer_LR,steer_RF,steer_RR,drive_LF,drive_LM,drive_LR,drive_RF,drive_RM,drive_RR
INMOTION,1,0,0,666952977.663,666952977.663,666952977.663,666952977.663,0.872622,-0.872537,0.174916,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,1,44,0,666952977.663,666956424,666952977.663,666956424,0.872622,-0.872537,0.174916,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,1,52,4,666958201,666968221,666958201,666968221,0.872622,-0.872537,0.174916,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,1,52,10,667035458.958,667035714.055,667035458.958,667035714.055,0.872622,-0.872537,0.174916,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,1,52,16,667125069.864,667303424.083,667125069.864,667303424.083,0.872622,-0.872537,0.174916,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,2,0,0,667378045,667751018,667378045,667751018,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,0,667751508,668006951,667751508,668006951,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,2,668007019,668007129,668007019,668007129,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,4,668007316,668007420,668007316,668007420,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,6,668007448,668007559,668007448,668007559,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,8,668007652,668007725,668007652,668007725,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,22,668009208,668009274,668009208,668009274,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,24,668009365,668009433,668009365,668009433,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,26,668009469,668009593,668009469,668009593,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,28,668009680,668009927,668009680,668009927,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,0,30,668009991,668099146,668009991,668099146,0.872622,0.174916,-0.872537,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,8,2,668099186,668099321,668099186,668099321,-0.499779,0.174916,0.499396,-0.175002,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,16,2,668099350,668099485,668099350,668099485,-0.499779,0.499737,0.499396,-0.499311,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,24,2,668099522,668099622,668099522,668099622,-0.499779,-0.499993,0.499396,0.499609,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,28,4,668099645,668186695,668099645,668186695,0,-4.26106e-05,0.000298274,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,38,2,668186921,668187188,668186921,668187188,0,4.26106e-05,-0.499822,0.49995,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,44,2,668187227,668187287,668187227,668187287,0,0,4.26106e-05,0.000127832,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,50,2,668187325,668187338,668187325,668187338,0,0,-8.52212e-05,0.000213053,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,56,2,668187391,668187404,668187391,668187404,0,0,8.52212e-05,0.000213053,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,62,2,668187437,668187466,668187437,668187466,0,0,0.00102265,0.000213053,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,68,2,668187499,668187529,668187499,668187529,0.839854,-0.791193,-0.838363,0.791577,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,74,2,668187564,668187593,668187564,668187593,0.839854,-0.791193,-0.838363,0.791577,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,80,2,668187618,668187648,668187618,668187648,0.839897,-0.791193,-0.838363,0.791577,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,86,2,668187679,668187704,668187679,668187704,0.839897,-0.791193,-0.838363,0.791577,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,92,2,668187741,668187770,668187741,668187770,0.839897,-0.791193,-0.838363,0.791577,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,98,2,668187807,668187832,668187807,668187832,4.26106e-05,-0.000298274,-0.00127832,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,104,2,668187873,668187898,668187873,668187898,4.26106e-05,-0.000298274,-0.00127832,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,110,4,668187937,668276781,668187937,668276781,4.26106e-05,-0.000298274,-0.00127832,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,188,2,668275624,668275945,668275624,668275945,0,-4.26106e-05,0.000980043,8.52212e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,346,2,668277016,668277054,668277016,668277054,0.839812,-0.791236,-0.839556,0.790511,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,376,2,668277223,668279645,668277223,668279645,4.26106e-05,0,-0.000255663,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,386,8,668286449,668366587,668286449,668366587,4.26106e-05,0,0,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,548,2,668366747,668366782,668366747,668366782,0.000255663,-4.26106e-05,-0.00127832,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,10,668369727,668451344,668369727,668451344,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,14,668451900,668451975,668451900,668451975,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,16,668452002,668452087,668452002,668452087,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,18,668452107,668452198,668452107,668452198,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,20,668452231,668452315,668452231,668452315,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,22,668452348,668452437,668452348,668452437,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,24,,,668452526,668452526,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,26,668452571,668452662,668452571,668452662,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,28,668452696,668452818,668452696,668452818,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,30,668452866,668453039,668452866,668453039,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,32,668453061,668453146,668453061,668453146,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,34,668453164,668453223,668453164,668453223,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,36,668453245,668453245,668453245,668453300,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,38,668453387,668453505,668453387,668453505,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,40,,,668453605,668453605,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,42,668453669,668453758,668453669,668453758,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,44,668453802,668453893,668453802,668453893,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,46,668453950,668454047,668453950,668454047,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,578,54,668454698,668454804,668454698,668454804,0.000255663,-4.26106e-05,-0.00123571,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
