PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 709                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P106"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:31.91                                     
START_TIME                    = 2001-12-14T04:10:07.00Z                                    
STOP_TIME                     = 2001-12-14T04:21:17.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 671                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 106 of aerobraking at Mars.  The data comes from                       
  p106_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-348T04:10:07.000  0.001076  0.000303 -0.000148 -0.104268  0.111745 -0.497083  0.854137
2001-348T04:10:08.000  0.001065  0.000294 -0.000159 -0.103750  0.111594 -0.497227  0.854136
2001-348T04:10:09.000  0.001066  0.000293 -0.000165 -0.103231  0.111443 -0.497370  0.854135
2001-348T04:10:10.000  0.001075  0.000284 -0.000178 -0.102712  0.111292 -0.497514  0.854133
2001-348T04:10:11.000  0.001064  0.000288 -0.000169 -0.102194  0.111143 -0.497659  0.854131
2001-348T04:10:12.000  0.001064  0.000289 -0.000175 -0.101677  0.110994 -0.497804  0.854127
2001-348T04:10:13.000  0.001049  0.000298 -0.000169 -0.101158  0.110846 -0.497949  0.854124
2001-348T04:10:14.000  0.001052  0.000294 -0.000162 -0.100638  0.110697 -0.498096  0.854119
2001-348T04:10:15.000  0.001060  0.000283 -0.000168 -0.100117  0.110550 -0.498241  0.854114
2001-348T04:10:16.000  0.001047  0.000303 -0.000170 -0.099599  0.110404 -0.498388  0.854108
2001-348T04:10:17.000  0.001066  0.000301 -0.000178 -0.099107  0.110266 -0.498527  0.854102
2001-348T04:10:18.000  0.001065  0.000294 -0.000179 -0.098563  0.110112 -0.498682  0.854094
2001-348T04:10:19.000  0.001050  0.000289 -0.000170 -0.098042  0.109967 -0.498829  0.854087
2001-348T04:10:20.000  0.001055  0.000294 -0.000164 -0.097524  0.109822 -0.498977  0.854079
2001-348T04:10:21.000  0.001050  0.000297 -0.000196 -0.097005  0.109678 -0.499125  0.854070
2001-348T04:10:22.000  0.001061  0.000305 -0.000192 -0.096487  0.109536 -0.499273  0.854060
2001-348T04:10:23.000  0.001069  0.000301 -0.000183 -0.095967  0.109394 -0.499422  0.854050
2001-348T04:10:24.000  0.001060  0.000300 -0.000175 -0.095449  0.109252 -0.499571  0.854039
2001-348T04:10:25.000  0.001053  0.000297 -0.000180 -0.094929  0.109110 -0.499721  0.854027
2001-348T04:10:26.000  0.001052  0.000315 -0.000179 -0.094412  0.108970 -0.499869  0.854015
2001-348T04:10:27.000  0.001061  0.000320 -0.000181 -0.093891  0.108831 -0.500021  0.854002
2001-348T04:10:28.000  0.001051  0.000305 -0.000189 -0.093374  0.108691 -0.500172  0.853988
2001-348T04:10:29.000  0.001066  0.000314 -0.000188 -0.092856  0.108553 -0.500321  0.853975
2001-348T04:10:30.000  0.001061  0.000316 -0.000189 -0.092342  0.108415 -0.500471  0.853960
2001-348T04:10:31.000  0.001048  0.000314 -0.000192 -0.091819  0.108275 -0.500624  0.853944
2001-348T04:10:32.000  0.001051  0.000317 -0.000198 -0.091299  0.108138 -0.500777  0.853928
2001-348T04:10:33.000  0.001062  0.000321 -0.000198 -0.090782  0.108002 -0.500929  0.853911
2001-348T04:10:34.000  0.001054  0.000329 -0.000192 -0.090264  0.107867 -0.501082  0.853894
2001-348T04:10:35.000  0.001050  0.000322 -0.000195 -0.089744  0.107731 -0.501235  0.853875
2001-348T04:10:36.000  0.001042  0.000308 -0.000189 -0.089226  0.107596 -0.501388  0.853857
2001-348T04:10:37.000  0.001041  0.000318 -0.000184 -0.088709  0.107462 -0.501541  0.853838
2001-348T04:10:38.000  0.001051  0.000316 -0.000179 -0.088189  0.107328 -0.501695  0.853818
2001-348T04:10:39.000  0.001048  0.000334 -0.000195 -0.087673  0.107196 -0.501848  0.853798
2001-348T04:10:40.000  0.001043  0.000341 -0.000204 -0.087156  0.107065 -0.502003  0.853776
2001-348T04:10:41.000  0.001052  0.000331 -0.000193 -0.086636  0.106933 -0.502158  0.853755
2001-348T04:10:42.000  0.001063  0.000332 -0.000199 -0.086117  0.106801 -0.502313  0.853732
2001-348T04:10:43.000  0.001052  0.000340 -0.000207 -0.085599  0.106672 -0.502469  0.853709
2001-348T04:10:44.000  0.001048  0.000329 -0.000207 -0.085081  0.106541 -0.502625  0.853685
2001-348T04:10:45.000  0.001037  0.000331 -0.000212 -0.084564  0.106412 -0.502780  0.853661
2001-348T04:10:46.000  0.001047  0.000325 -0.000207 -0.084048  0.106284 -0.502935  0.853637
2001-348T04:10:47.000  0.001038  0.000327 -0.000218 -0.083526  0.106155 -0.503093  0.853611
