PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 732                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P118"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:35.17                                     
START_TIME                    = 2001-12-16T22:10:30.00Z                                    
STOP_TIME                     = 2001-12-16T22:22:03.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 694                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 118 of aerobraking at Mars.  The data comes from                       
  p118_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-350T22:10:30.000  0.001129 -0.000104  0.000030 -0.148509  0.116021 -0.480433  0.856545
2001-350T22:10:31.000  0.001110 -0.000097  0.000031 -0.148056  0.115710 -0.480474  0.856642
2001-350T22:10:32.000  0.001121 -0.000112  0.000045 -0.147603  0.115398 -0.480516  0.856739
2001-350T22:10:33.000  0.001111 -0.000109  0.000037 -0.147148  0.115085 -0.480558  0.856836
2001-350T22:10:34.000  0.001105 -0.000113  0.000018 -0.146697  0.114774 -0.480600  0.856931
2001-350T22:10:35.000  0.001100 -0.000116  0.000022 -0.146243  0.114461 -0.480641  0.857027
2001-350T22:10:36.000  0.001117 -0.000096  0.000025 -0.145794  0.114151 -0.480681  0.857122
2001-350T22:10:37.000  0.001124 -0.000129  0.000022 -0.145337  0.113834 -0.480723  0.857219
2001-350T22:10:38.000  0.001110 -0.000112  0.000035 -0.144884  0.113522 -0.480763  0.857315
2001-350T22:10:39.000  0.001102 -0.000103  0.000054 -0.144432  0.113209 -0.480802  0.857410
2001-350T22:10:40.000  0.001120 -0.000102  0.000032 -0.143981  0.112897 -0.480841  0.857505
2001-350T22:10:41.000  0.001114 -0.000113  0.000050 -0.143528  0.112582 -0.480879  0.857601
2001-350T22:10:42.000  0.001087 -0.000100  0.000035 -0.143079  0.112270 -0.480917  0.857696
2001-350T22:10:43.000  0.001113 -0.000114  0.000056 -0.142625  0.111955 -0.480955  0.857792
2001-350T22:10:44.000  0.001116 -0.000088  0.000030 -0.142174  0.111642 -0.480992  0.857886
2001-350T22:10:45.000  0.001111 -0.000120  0.000028 -0.141722  0.111326 -0.481030  0.857981
2001-350T22:10:46.000  0.001104 -0.000108  0.000043 -0.141274  0.111013 -0.481066  0.858075
2001-350T22:10:47.000  0.001111 -0.000114  0.000039 -0.140822  0.110697 -0.481104  0.858169
2001-350T22:10:48.000  0.001117 -0.000119  0.000058 -0.140370  0.110382 -0.481140  0.858264
2001-350T22:10:49.000  0.001118 -0.000112  0.000046 -0.139918  0.110065 -0.481176  0.858358
2001-350T22:10:50.000  0.001122 -0.000125  0.000049 -0.139468  0.109749 -0.481211  0.858452
2001-350T22:10:51.000  0.001110 -0.000131  0.000052 -0.139015  0.109432 -0.481246  0.858546
2001-350T22:10:52.000  0.001124 -0.000105  0.000052 -0.138567  0.109119 -0.481280  0.858639
2001-350T22:10:53.000  0.001130 -0.000119  0.000035 -0.138111  0.108798 -0.481314  0.858734
2001-350T22:10:54.000  0.001114 -0.000110  0.000030 -0.137662  0.108483 -0.481349  0.858827
2001-350T22:10:55.000  0.001118 -0.000121  0.000060 -0.137210  0.108164 -0.481382  0.858921
2001-350T22:10:56.000  0.001105 -0.000119  0.000041 -0.136762  0.107848 -0.481416  0.859013
2001-350T22:10:57.000  0.001096 -0.000129  0.000047 -0.136308  0.107528 -0.481449  0.859107
2001-350T22:10:58.000  0.001136 -0.000127  0.000038 -0.135859  0.107210 -0.481481  0.859200
2001-350T22:10:59.000  0.001108 -0.000138  0.000051 -0.135408  0.106892 -0.481512  0.859293
2001-350T22:10:60.000  0.001110 -0.000140  0.000050 -0.134956  0.106573 -0.481544  0.859386
2001-350T22:11:01.000  0.001118 -0.000106  0.000058 -0.134504  0.106254 -0.481575  0.859479
2001-350T22:11:02.000  0.001100 -0.000127  0.000055 -0.134055  0.105936 -0.481606  0.859571
2001-350T22:11:03.000  0.001095 -0.000142  0.000027 -0.133605  0.105617 -0.481638  0.859663
2001-350T22:11:04.000  0.001112 -0.000132  0.000054 -0.133155  0.105297 -0.481666  0.859756
2001-350T22:11:05.000  0.001108 -0.000137  0.000038 -0.132704  0.104976 -0.481695  0.859848
2001-350T22:11:06.000  0.001113 -0.000144  0.000037 -0.132257  0.104658 -0.481725  0.859939
2001-350T22:11:07.000  0.001115 -0.000131  0.000040 -0.131803  0.104336 -0.481753  0.860033
2001-350T22:11:08.000  0.001115 -0.000141  0.000051 -0.131358  0.104018 -0.481782  0.860123
2001-350T22:11:09.000  0.001106 -0.000128  0.000028 -0.130905  0.103694 -0.481811  0.860215
2001-350T22:11:10.000  0.001107 -0.000126  0.000042 -0.130456  0.103374 -0.481838  0.860306
2001-350T22:11:11.000  0.001119 -0.000144  0.000052 -0.130005  0.103050 -0.481867  0.860397
2001-350T22:11:12.000  0.001114 -0.000143  0.000057 -0.129557  0.102730 -0.481894  0.860488
2001-350T22:11:13.000  0.001133 -0.000129  0.000054 -0.129106  0.102406 -0.481921  0.860579
2001-350T22:11:14.000  0.001101 -0.000136  0.000061 -0.128659  0.102085 -0.481946  0.860670
2001-350T22:11:15.000  0.001122 -0.000118  0.000062 -0.128208  0.101762 -0.481972  0.860761
