PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 808                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P162"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:46.95                                     
START_TIME                    = 2001-12-24T15:46:45.00Z                                    
STOP_TIME                     = 2001-12-24T15:59:34.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 770                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 162 of aerobraking at Mars.  The data comes from                       
  p162_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-358T15:46:45.000  0.001059 -0.000081 -0.000170  0.254026 -0.171899  0.457495 -0.834637
2001-358T15:46:46.000  0.001055 -0.000090 -0.000165  0.253629 -0.171606  0.457641 -0.834738
2001-358T15:46:47.000  0.001062 -0.000097 -0.000182  0.253212 -0.171296  0.457797 -0.834843
2001-358T15:46:48.000  0.001064 -0.000091 -0.000176  0.252805 -0.170994  0.457949 -0.834945
2001-358T15:46:49.000  0.001065 -0.000087 -0.000168  0.252397 -0.170693  0.458100 -0.835047
2001-358T15:46:50.000  0.001061 -0.000087 -0.000166  0.251992 -0.170392  0.458250 -0.835149
2001-358T15:46:51.000  0.001055 -0.000089 -0.000177  0.251586 -0.170090  0.458402 -0.835249
2001-358T15:46:52.000  0.001051 -0.000097 -0.000191  0.251179 -0.169785  0.458555 -0.835350
2001-358T15:46:53.000  0.001057 -0.000099 -0.000180  0.250772 -0.169480  0.458708 -0.835450
2001-358T15:46:54.000  0.001055 -0.000099 -0.000172  0.250367 -0.169176  0.458859 -0.835550
2001-358T15:46:55.000  0.001068 -0.000094 -0.000180  0.249962 -0.168871  0.459012 -0.835649
2001-358T15:46:56.000  0.001060 -0.000092 -0.000194  0.249557 -0.168566  0.459165 -0.835748
2001-358T15:46:57.000  0.001044 -0.000085 -0.000189  0.249152 -0.168260  0.459317 -0.835847
2001-358T15:46:58.000  0.001048 -0.000093 -0.000189  0.248747 -0.167953  0.459470 -0.835945
2001-358T15:46:59.000  0.001066 -0.000102 -0.000185  0.248345 -0.167646  0.459622 -0.836043
2001-358T15:46:60.000  0.001065 -0.000097 -0.000179  0.247939 -0.167337  0.459775 -0.836141
2001-358T15:47:01.000  0.001055 -0.000099 -0.000179  0.247535 -0.167030  0.459927 -0.836238
2001-358T15:47:02.000  0.001058 -0.000103 -0.000181  0.247132 -0.166721  0.460081 -0.836335
2001-358T15:47:03.000  0.001066 -0.000104 -0.000188  0.246729 -0.166411  0.460235 -0.836431
2001-358T15:47:04.000  0.001060 -0.000114 -0.000184  0.246325 -0.166101  0.460388 -0.836527
2001-358T15:47:05.000  0.001067 -0.000112 -0.000174  0.245922 -0.165790  0.460541 -0.836623
2001-358T15:47:06.000  0.001074 -0.000101 -0.000187  0.245521 -0.165482  0.460694 -0.836718
2001-358T15:47:07.000  0.001063 -0.000108 -0.000199  0.245119 -0.165171  0.460847 -0.836813
2001-358T15:47:08.000  0.001060 -0.000107 -0.000200  0.244715 -0.164857  0.461002 -0.836908
2001-358T15:47:09.000  0.001060 -0.000100 -0.000195  0.244312 -0.164545  0.461156 -0.837002
2001-358T15:47:10.000  0.001064 -0.000113 -0.000199  0.243911 -0.164232  0.461310 -0.837095
2001-358T15:47:11.000  0.001066 -0.000117 -0.000192  0.243508 -0.163918  0.461464 -0.837189
2001-358T15:47:12.000  0.001068 -0.000107 -0.000188  0.243107 -0.163605  0.461618 -0.837282
